"TITLE","DEPARTMENT","CATEGORY","BASE_PRICE","ORDER_NUMBER"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000062460970"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000036447691"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000047615957"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000033964712"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000042990528"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000042315594"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000073095684"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000034893177"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000044290838"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000022939579"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000018015468"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000015392397"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000013500274"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000013152312"
"Fibre 1 Chewy Bars, Oats & Chocolate (700g)","Grocery","Nutritional Portable",8.97,"531000012983083"
"Durex Sensi-Thin Condoms (24ea)","OTC","Family Planning",15.49,"531000010824675"
"No Name Cat Litter, Scented (10kg)","Grocery","Cat Litter",3.97,"531000099428699"
"No Name Cat Litter, Scented (10kg)","Grocery","Cat Litter",3.97,"531000085170008"
"No Name Cat Litter, Scented (10kg)","Grocery","Cat Litter",3.97,"531000096010484"
"No Name Cat Litter, Scented (10kg)","Grocery","Cat Litter",3.97,"531000071326103"
"No Name Cat Litter, Scented (10kg)","Grocery","Cat Litter",3.97,"531000035840917"
"No Name Cat Litter, Scented (10kg)","Grocery","Cat Litter",3.97,"531000013552245"
"Pringles Potato Chips, Original (37g)","Grocery","Salty Snacks",7.49,"531000023864483"
"Advil 400 Mg Caplets (32ea)","OTC","Analgesics",9.99,"531000098064428"
"Advil 400 Mg Caplets (32ea)","OTC","Analgesics",9.99,"531000095626566"
"Advil 400 Mg Caplets (32ea)","OTC","Analgesics",9.99,"531000097261808"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000099306583"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000097810860"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000097609180"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000094961368"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000091686513"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000094526438"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000087997394"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000091398484"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000090380718"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000091264088"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000086046539"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000089646397"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000096122308"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000095650013"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000091508819"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000095158383"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000094104945"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000091314279"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000082793104"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000090152148"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000089460621"
"Nature Valley Sweet & Salty Chewy Nut Bars, Almond (175g)","Grocery","Nutritional Portable",2.97,"531000090769392"
